ID,Parent SKU,SKU,Description,Regular price,Brand,Cat,Color,Prime style,Pocket shape,Collection name,Consignment,Placket Shape,Placket Type,Sleeves type,Collar type,Size,Generation
,#p30211#,215302837612111,شماغ - الشياكة برايم - رجالي - احمر غامق - 55,145,Alshiaka,Headgear>Alshiaka>Shumagh,Light Red,Alshiaka Prime Shumagh Light Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,62,Men
,#p30211#,215302938582110,شماغ - الشياكة برايم - رجالي - احمر غامق - 58,145,Alshiaka,Headgear>Alshiaka>Shumagh,Dark Red,Alshiaka Prime Shumagh Dark Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,55,Men
,#p30211#,215302938592110,شماغ - الشياكة برايم - رجالي - احمر غامق - 60,145,Alshiaka,Headgear>Alshiaka>Shumagh,Dark Red,Alshiaka Prime Shumagh Dark Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,58,Men
,#p30211#,215302938602110,شماغ - الشياكة برايم - رجالي - احمر غامق - 62,145,Alshiaka,Headgear>Alshiaka>Shumagh,Dark Red,Alshiaka Prime Shumagh Dark Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,60,Men
,#p30211#,215302938612110,شماغ - الشياكة برايم - رجالي - ابيض - 55,145,Alshiaka,Headgear>Alshiaka>Shumagh,Dark Red,Alshiaka Prime Shumagh Dark Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,62,Men
,#p30211#,215302601582110,شماغ - الشياكة برايم - رجالي - ابيض - 58,145,Alshiaka,Headgear>Alshiaka>Shumagh,White,Alshiaka Prime Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,55,Men
,#p30211#,215302601592110,شماغ - الشياكة برايم - رجالي - ابيض - 60,145,Alshiaka,Headgear>Alshiaka>Shumagh,White,Alshiaka Prime Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,58,Men
,#p30211#,215302601602110,شماغ - الشياكة برايم - رجالي - ابيض - 62,145,Alshiaka,Headgear>Alshiaka>Shumagh,White,Alshiaka Prime Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,60,Men
,#p30211#,215302601612110,شماغ - عادي - رجالي - احمر فاتح - 55,105,Alshiaka,Headgear>Alshiaka>Shumagh,White,Alshiaka Prime Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,62,Men
,#p30211#,215112837582112,شماغ - عادي - رجالي - احمر فاتح - 58,105,Alshiaka,Headgear>Alshiaka>Shumagh,Light Red,Chinese Shumagh Light Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,55,Men
,#p30211#,215112837592112,شماغ - عادي - رجالي - احمر فاتح - 60,105,Alshiaka,Headgear>Alshiaka>Shumagh,Light Red,Chinese Shumagh Light Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,58,Men
,#p30211#,215112837602112,شماغ - عادي - رجالي - احمر فاتح - 62,105,Alshiaka,Headgear>Alshiaka>Shumagh,Light Red,Chinese Shumagh Light Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,60,Men
,#p30211#,215112837612112,شماغ - عادي - رجالي - احمر غامق - 55,105,Alshiaka,Headgear>Alshiaka>Shumagh,Light Red,Chinese Shumagh Light Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,62,Men
,#p30211#,215112938582113,شماغ - عادي - رجالي - احمر غامق - 58,105,Alshiaka,Headgear>Alshiaka>Shumagh,Dark Red,Chinese Shumagh Dark Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,55,Men
