ID,Parent SKU,SKU,Description,Regular price,Brand,Cat,Color,Prime style,Pocket shape,Collection name,Consignment,Placket Shape,Placket Type,Sleeves type,Collar type,Size,Generation
,#p30211#,372201219,Shumagh - Alshiaka - Men - 62,285,Alshiaka,Headgear>Alshiaka>Shumagh,White,Swiss Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,55,Men
,#p30211#,372201223,Shumagh - Alshiaka - Men - 55,285,Alshiaka,Headgear>Alshiaka>Shumagh,White,Swiss Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,62,Men
,#p30211#,375310219,Shumagh - Alshiaka - Men - 58,285,Alshiaka,Headgear>Alshiaka>Shumagh,Red,Swiss Shumagh Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,55,Men
,#p30211#,375310221,Shumagh - Alshiaka - Men - 60,285,Alshiaka,Headgear>Alshiaka>Shumagh,Red,Swiss Shumagh Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,58,Men
,#p30211#,375310222,Shumagh - Alshiaka - Men - 42,95,Alshiaka,Headgear>Alshiaka>Shumagh,Red,Swiss Shumagh Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,60,Men
,#p30211#,479501210,Shumagh - Alshiaka - Youth - 46,95,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,42,Men
,#p30211#,479501212,Shumagh - Alshiaka - Youth - 50,95,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,46,Youth
,#p30211#,479501214,Shumagh - Alshiaka - Youth - 52,95,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,50,Youth
,#p30211#,479501216,Shumagh - Alshiaka - Men - 55,145,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,52,Youth
,#p30211#,479501219,Shumagh - Alshiaka - Men - 58,145,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,55,Men
,#p30211#,479501221,Shumagh - Alshiaka - Men - 60,145,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,58,Men
,#p30211#,479501222,Shumagh - Alshiaka - Men - 62,145,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,60,Men
,#p30211#,479501223,Shumagh - Alshiaka - Men - 55,145,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,62,Men
,#p30211#,479502219,Shumagh - Alshiaka - Men - 58,145,Alshiaka,Headgear>Alshiaka>Shumagh,Cream,Chinese Shumagh Cream,NA,Seasonal,Non Consignment,NA,NA,NA,NA,55,Men
,#p30211#,479502221,Shumagh - Alshiaka - Men - 60,145,Alshiaka,Headgear>Alshiaka>Shumagh,Cream,Chinese Shumagh Cream,NA,Seasonal,Non Consignment,NA,NA,NA,NA,58,Men
,#p30211#,479502222,Shumagh - Alshiaka - Men - 62,145,Alshiaka,Headgear>Alshiaka>Shumagh,Cream,Chinese Shumagh Cream,NA,Seasonal,Non Consignment,NA,NA,NA,NA,60,Men
,#p30211#,479502223,Shumagh - Alshiaka - Men - 38,95,Alshiaka,Headgear>Alshiaka>Shumagh,Cream,Chinese Shumagh Cream,NA,Seasonal,Non Consignment,NA,NA,NA,NA,62,Men
,#p30211#,479510208,Shumagh - Alshiaka - Men - 42,95,Alshiaka,Headgear>Alshiaka>Shumagh,Red,Chinese Shumagh Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,38,Men
